Date,Value
2023-01-01,0.0
2023-01-02,1.5
2023-01-03,3.2973967099940698
2023-01-04,5.237192818846552
2023-01-05,7.278031643091577
2023-01-06,9.398648307306074
2023-01-07,11.585814486631532
2023-01-08,13.830412131161864
2023-01-09,16.125732532083184
2023-01-10,18.466610165238237
2023-01-11,20.848931924611133
2023-01-12,23.269336928223957
2023-01-13,25.725021954206706
2023-01-14,28.21360948035253
2023-01-15,30.733054843014095
2023-01-16,33.28157891381218
2023-01-17,35.85761802547597
2023-01-18,38.45978591314939
2023-01-19,41.08684424338806
2023-01-20,43.737679419025696
2023-01-21,46.4112840605216
2023-01-22,49.10674203230342
2023-01-23,51.82321619767785
2023-01-24,54.559938302761715
2023-01-25,57.316200542155286
2023-01-26,60.09134846789696
2023-01-27,62.88477498225796
2023-01-28,65.69591521315758
2023-01-29,68.52424211444941
2023-01-30,71.36926266618188
